year,month,report begin date,report end date,region,type_egg,price unit,environment,price avg
2019,January,1/19/2019,1/25/2019,MidWest,Large Brown,Per Carton,Conventional,2.28
2019,January,1/19/2019,1/25/2019,MidWest,Extra Large White,Per Carton,Conventional,1.66
2019,January,1/19/2019,1/25/2019,MidWest,Large White,Per Carton,Organic,1.69
2019,January,1/19/2019,1/25/2019,MidWest,Large White,Per Carton,Conventional,1.63
2019,January,1/19/2019,1/25/2019,MidWest,Large White,Per Carton,Conventional,2.04
2019,January,1/19/2019,1/25/2019,National,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/19/2019,1/25/2019,National,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/19/2019,1/25/2019,National,Large Brown,Per Carton,Organic,2.66
2019,January,1/19/2019,1/25/2019,National,Large Brown,Per Carton,Conventional,1.94
2019,January,1/19/2019,1/25/2019,National,Large Brown,Per Carton,Conventional,2.5
2019,January,1/19/2019,1/25/2019,National,Large Brown,Per Carton,Organic,3.93
2019,January,1/19/2019,1/25/2019,National,Large Brown,Per Carton,Conventional,2.45
2019,January,1/19/2019,1/25/2019,National,Extra Large White,Per Carton,Conventional,1.66
2019,January,1/19/2019,1/25/2019,National,Extra Large White,Per Carton,Conventional,2.33
2019,January,1/19/2019,1/25/2019,National,Large White,Per Carton,Organic,2.3
2019,January,1/19/2019,1/25/2019,National,Large White,Per Carton,Conventional,1.53
2019,January,1/19/2019,1/25/2019,National,Large White,Per Carton,Conventional,2.13
2019,January,1/19/2019,1/25/2019,National,Large White,Per Carton,Organic,3.99
2019,January,1/19/2019,1/25/2019,NorthEast,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/19/2019,1/25/2019,NorthEast,Large Brown,Per Carton,Organic,3.37
2019,January,1/19/2019,1/25/2019,NorthEast,Large Brown,Per Carton,Organic,4.16
2019,January,1/19/2019,1/25/2019,NorthEast,Large Brown,Per Carton,Conventional,2.57
2019,January,1/19/2019,1/25/2019,NorthEast,Extra Large White,Per Carton,Conventional,2.33
2019,January,1/19/2019,1/25/2019,NorthEast,Large White,Per Carton,Organic,1.5
2019,January,1/19/2019,1/25/2019,NorthEast,Large White,Per Carton,Conventional,0.99
2019,January,1/19/2019,1/25/2019,NorthEast,Large White,Per Carton,Conventional,2.42
2019,January,1/19/2019,1/25/2019,NorthEast,Large White,Per Carton,Organic,3.99
2019,January,1/19/2019,1/25/2019,NorthEast,Medium White,Per Carton,Conventional,0.99
2019,January,1/19/2019,1/25/2019,NorthWest,Large Brown,Per Carton,Organic,2.52
2019,January,1/19/2019,1/25/2019,NorthWest,Large White,Per Carton,Organic,2.13
2019,January,1/19/2019,1/25/2019,NorthWest,Large White,Per Carton,Conventional,1.67
2019,January,1/19/2019,1/25/2019,SouthCentral,Large Brown,Per Carton,Organic,2.99
2019,January,1/19/2019,1/25/2019,SouthCentral,Large Brown,Per Carton,Conventional,1.89
2019,January,1/19/2019,1/25/2019,SouthCentral,Large Brown,Per Carton,Organic,3
2019,January,1/19/2019,1/25/2019,SouthCentral,Large Brown,Per Carton,Conventional,2.37
2019,January,1/19/2019,1/25/2019,SouthCentral,Extra Large White,Per Carton,Conventional,2.34
2019,January,1/19/2019,1/25/2019,SouthCentral,Large White,Per Carton,Conventional,1.49
2019,January,1/19/2019,1/25/2019,SouthCentral,Large White,Per Carton,Conventional,2.5
2019,January,1/19/2019,1/25/2019,SouthCentral,Medium White,Per Carton,Conventional,1
2019,January,1/19/2019,1/25/2019,SouthEast,Large Brown,Per Carton,Organic,2.86
2019,January,1/19/2019,1/25/2019,SouthEast,Large Brown,Per Carton,Conventional,2.5
2019,January,1/19/2019,1/25/2019,SouthEast,Extra Large White,Per Carton,Conventional,2.29
2019,January,1/19/2019,1/25/2019,SouthEast,Large White,Per Carton,Conventional,1.93
2019,January,1/19/2019,1/25/2019,SouthEast,Large White,Per Carton,Conventional,2.5
2019,January,1/19/2019,1/25/2019,SouthEast,Medium White,Per Carton,Conventional,0.68
2019,January,1/19/2019,1/25/2019,SouthWest,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/19/2019,1/25/2019,SouthWest,Large Brown,Per Carton,Organic,2.33
2019,January,1/19/2019,1/25/2019,SouthWest,Large White,Per Carton,Organic,3.19
2019,January,1/19/2019,1/25/2019,SouthWest,Large White,Per Carton,Conventional,1.34
2019,January,1/19/2019,1/25/2019,SouthWest,Large White,Per Carton,Conventional,1.76
2019,January,1/19/2019,1/25/2019,SouthWest,Medium White,Per Carton,Conventional,1
2019,January,1/26/2019,2/1/2019,Alaska,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,Hawaii,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,Hawaii,Large White,Per Carton,Conventional,4.99
2019,January,1/26/2019,2/1/2019,MidWest,Large Brown,Per Carton,Organic,2.69
2019,January,1/26/2019,2/1/2019,MidWest,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,MidWest,Large White,Per Carton,Organic,2.99
2019,January,1/26/2019,2/1/2019,MidWest,Large White,Per Carton,Conventional,1
2019,January,1/26/2019,2/1/2019,MidWest,Large White,Per Carton,Conventional,2.42
2019,January,1/26/2019,2/1/2019,MidWest,Large White,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,MidWest,Medium White,Per Carton,Conventional,0.95
2019,January,1/26/2019,2/1/2019,National,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,National,Large Brown,Per Carton,Organic,3.01
2019,January,1/26/2019,2/1/2019,National,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,National,Large Brown,Per Carton,Conventional,2.92
2019,January,1/26/2019,2/1/2019,National,Extra Large White,Per Carton,Organic,4.99
2019,January,1/26/2019,2/1/2019,National,Extra Large White,Per Carton,Conventional,0.99
2019,January,1/26/2019,2/1/2019,National,Extra Large White,Per Carton,Conventional,2.5
2019,January,1/26/2019,2/1/2019,National,Large White,Per Carton,Organic,2.1
2019,January,1/26/2019,2/1/2019,National,Large White,Per Carton,Conventional,1.85
2019,January,1/26/2019,2/1/2019,National,Large White,Per Carton,Conventional,2.28
2019,January,1/26/2019,2/1/2019,National,Large White,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,NorthEast,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,NorthEast,Large Brown,Per Carton,Organic,3.53
2019,January,1/26/2019,2/1/2019,NorthEast,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,NorthEast,Large Brown,Per Carton,Conventional,2.92
2019,January,1/26/2019,2/1/2019,NorthEast,Extra Large White,Per Carton,Organic,4.99
2019,January,1/26/2019,2/1/2019,NorthEast,Extra Large White,Per Carton,Conventional,2.5
2019,January,1/26/2019,2/1/2019,NorthEast,Large White,Per Carton,Conventional,1.69
2019,January,1/26/2019,2/1/2019,NorthEast,Large White,Per Carton,Conventional,2.23
2019,January,1/26/2019,2/1/2019,NorthEast,Large White,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,NorthWest,Large Brown,Per Carton,Organic,1.66
2019,January,1/26/2019,2/1/2019,NorthWest,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,NorthWest,Large White,Per Carton,Organic,1.99
2019,January,1/26/2019,2/1/2019,NorthWest,Large White,Per Carton,Conventional,1.99
2019,January,1/26/2019,2/1/2019,SouthCentral,Large Brown,Per Carton,Organic,2.85
2019,January,1/26/2019,2/1/2019,SouthCentral,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,SouthCentral,Large White,Per Carton,Organic,1.99
2019,January,1/26/2019,2/1/2019,SouthCentral,Large White,Per Carton,Conventional,1
2019,January,1/26/2019,2/1/2019,SouthCentral,Large White,Per Carton,Conventional,2.31
2019,January,1/26/2019,2/1/2019,SouthCentral,Large White,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,SouthEast,Large Brown,Per Carton,Organic,3.03
2019,January,1/26/2019,2/1/2019,SouthEast,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,SouthEast,Extra Large White,Per Carton,Conventional,0.99
2019,January,1/26/2019,2/1/2019,SouthEast,Large White,Per Carton,Organic,1.99
2019,January,1/26/2019,2/1/2019,SouthEast,Large White,Per Carton,Conventional,1.99
2019,January,1/26/2019,2/1/2019,SouthEast,Large White,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,SouthEast,Medium White,Per Carton,Conventional,0.65
2019,January,1/26/2019,2/1/2019,SouthWest,Large Brown,Per Carton,Organic,2.6
2019,January,1/26/2019,2/1/2019,SouthWest,Large Brown,Per Carton,Organic,3.99
2019,January,1/26/2019,2/1/2019,SouthWest,Large White,Per Carton,Organic,1.99
2019,January,1/26/2019,2/1/2019,SouthWest,Large White,Per Carton,Conventional,2.99
2019,January,1/26/2019,2/1/2019,SouthWest,Medium White,Per Carton,Conventional,2.59
2019,February,2/2/2019,2/8/2019,Alaska,Large Brown,Per Carton,Organic,4.29
2019,February,2/2/2019,2/8/2019,Alaska,Large White,Per Carton,Conventional,2.76
2019,February,2/2/2019,2/8/2019,Hawaii,Extra Large White,Per Carton,Conventional,4.99
2019,February,2/2/2019,2/8/2019,MidWest,Large Brown,Per Carton,Organic,2.13
2019,February,2/2/2019,2/8/2019,MidWest,Large Brown,Per Carton,Organic,4.1
2019,February,2/2/2019,2/8/2019,MidWest,Extra Large White,Per Carton,Conventional,1.93
2019,February,2/2/2019,2/8/2019,MidWest,Large White,Per Carton,Conventional,1.54
2019,February,2/2/2019,2/8/2019,MidWest,Large White,Per Carton,Conventional,2.43
2019,February,2/2/2019,2/8/2019,National,Extra Large Brown,Per Carton,Organic,4.49
2019,February,2/2/2019,2/8/2019,National,Large Brown,Per Carton,Organic,2.81
2019,February,2/2/2019,2/8/2019,National,Large Brown,Per Carton,Organic,3.98
2019,February,2/2/2019,2/8/2019,National,Large Brown,Per Carton,Conventional,2
2019,February,2/2/2019,2/8/2019,National,Extra Large White,Per Carton,Organic,3
2019,February,2/2/2019,2/8/2019,National,Extra Large White,Per Carton,Conventional,2.2
2019,February,2/2/2019,2/8/2019,National,Extra Large White,Per Carton,Conventional,2.67
2019,February,2/2/2019,2/8/2019,National,Extra Large White,Per Carton,Conventional,2.99
2019,February,2/2/2019,2/8/2019,National,Large White,Per Carton,Organic,3.11
2019,February,2/2/2019,2/8/2019,National,Large White,Per Carton,Conventional,1.25
2019,February,2/2/2019,2/8/2019,National,Large White,Per Carton,Conventional,2.46
2019,February,2/2/2019,2/8/2019,NorthEast,Extra Large Brown,Per Carton,Organic,4.49
2019,February,2/2/2019,2/8/2019,NorthEast,Large Brown,Per Carton,Organic,2.99
2019,February,2/2/2019,2/8/2019,NorthEast,Large Brown,Per Carton,Organic,3.57
2019,February,2/2/2019,2/8/2019,NorthEast,Extra Large White,Per Carton,Organic,3
2019,February,2/2/2019,2/8/2019,NorthEast,Extra Large White,Per Carton,Conventional,1.33
2019,February,2/2/2019,2/8/2019,NorthEast,Extra Large White,Per Carton,Conventional,2.63
2019,February,2/2/2019,2/8/2019,NorthEast,Large White,Per Carton,Conventional,0.94
2019,February,2/2/2019,2/8/2019,NorthEast,Large White,Per Carton,Conventional,2.61
2019,February,2/2/2019,2/8/2019,NorthWest,Large Brown,Per Carton,Organic,1.99
2019,February,2/2/2019,2/8/2019,NorthWest,Large Brown,Per Carton,Organic,4.29
2019,February,2/2/2019,2/8/2019,NorthWest,Large White,Per Carton,Conventional,0.88
2019,February,2/2/2019,2/8/2019,NorthWest,Large White,Per Carton,Conventional,2.75
2019,February,2/2/2019,2/8/2019,SouthCentral,Large Brown,Per Carton,Organic,2.5
2019,February,2/2/2019,2/8/2019,SouthCentral,Large Brown,Per Carton,Organic,3.92
2019,February,2/2/2019,2/8/2019,SouthCentral,Extra Large White,Per Carton,Conventional,2.37
2019,February,2/2/2019,2/8/2019,SouthCentral,Extra Large White,Per Carton,Conventional,2.99
2019,February,2/2/2019,2/8/2019,SouthCentral,Large White,Per Carton,Conventional,1.28
2019,February,2/2/2019,2/8/2019,SouthCentral,Large White,Per Carton,Conventional,2.49
2019,February,2/2/2019,2/8/2019,SouthEast,Large Brown,Per Carton,Organic,2.86
2019,February,2/2/2019,2/8/2019,SouthEast,Large Brown,Per Carton,Organic,3.99
2019,February,2/2/2019,2/8/2019,SouthEast,Large Brown,Per Carton,Conventional,2
2019,February,2/2/2019,2/8/2019,SouthEast,Extra Large White,Per Carton,Conventional,4.59
2019,February,2/2/2019,2/8/2019,SouthEast,Extra Large White,Per Carton,Conventional,2.46
2019,February,2/2/2019,2/8/2019,SouthEast,Large White,Per Carton,Conventional,1.46
2019,February,2/2/2019,2/8/2019,SouthEast,Large White,Per Carton,Conventional,2
2019,February,2/2/2019,2/8/2019,SouthWest,Large Brown,Per Carton,Organic,2.86
2019,February,2/2/2019,2/8/2019,SouthWest,Large Brown,Per Carton,Organic,3.94
2019,February,2/2/2019,2/8/2019,SouthWest,Large White,Per Carton,Organic,3.11
2019,February,2/2/2019,2/8/2019,SouthWest,Large White,Per Carton,Conventional,1.49
2019,February,2/2/2019,2/8/2019,SouthWest,Large White,Per Carton,Conventional,2.72
2019,February,2/2/2019,2/8/2019,SouthWest,Medium White,Per Carton,Conventional,1.58
2019,February,2/9/2019,2/15/2019,Alaska,Large Brown,Per Carton,Organic,2.89
2019,February,2/9/2019,2/15/2019,Alaska,Large White,Per Carton,Conventional,1.58
2019,February,2/9/2019,2/15/2019,Alaska,Large White,Per Carton,Conventional,2.5
2019,February,2/9/2019,2/15/2019,MidWest,Extra Large Brown,Per Carton,Organic,3.29
2019,February,2/9/2019,2/15/2019,MidWest,Large Brown,Per Carton,Organic,2.5
2019,February,2/9/2019,2/15/2019,MidWest,Large Brown,Per Carton,Conventional,2.88
2019,February,2/9/2019,2/15/2019,MidWest,Large Brown,Per Carton,Organic,3.79
2019,February,2/9/2019,2/15/2019,MidWest,Extra Large White,Per Carton,Conventional,2.5
2019,February,2/9/2019,2/15/2019,MidWest,Large White,Per Carton,Conventional,1.3
2019,February,2/9/2019,2/15/2019,MidWest,Large White,Per Carton,Conventional,2.06
2019,February,2/9/2019,2/15/2019,MidWest,Medium White,Per Carton,Conventional,0.96
2019,February,2/9/2019,2/15/2019,National,Extra Large Brown,Per Carton,Organic,3.29
2019,February,2/9/2019,2/15/2019,National,Large Brown,Per Carton,Organic,2.57
2019,February,2/9/2019,2/15/2019,National,Large Brown,Per Carton,Conventional,1.88
2019,February,2/9/2019,2/15/2019,National,Large Brown,Per Carton,Conventional,2.88
2019,February,2/9/2019,2/15/2019,National,Large Brown,Per Carton,Organic,3.71
2019,February,2/9/2019,2/15/2019,National,Large Brown,Per Carton,Conventional,2.07
2019,February,2/9/2019,2/15/2019,National,Extra Large White,Per Carton,Organic,3.36
2019,February,2/9/2019,2/15/2019,National,Extra Large White,Per Carton,Conventional,2.09
2019,February,2/9/2019,2/15/2019,National,Extra Large White,Per Carton,Conventional,2.59
2019,February,2/9/2019,2/15/2019,National,Extra Large White,Per Carton,Organic,4.99
2019,February,2/9/2019,2/15/2019,National,Large White,Per Carton,Organic,2.45
2019,February,2/9/2019,2/15/2019,National,Large White,Per Carton,Conventional,1.4
2019,February,2/9/2019,2/15/2019,National,Large White,Per Carton,Conventional,2.06
2019,February,2/9/2019,2/15/2019,NorthEast,Large Brown,Per Carton,Organic,2.59
2019,February,2/9/2019,2/15/2019,NorthEast,Large Brown,Per Carton,Conventional,1.88
2019,February,2/9/2019,2/15/2019,NorthEast,Large Brown,Per Carton,Organic,3.72
2019,February,2/9/2019,2/15/2019,NorthEast,Large Brown,Per Carton,Conventional,2.5
2019,February,2/9/2019,2/15/2019,NorthEast,Extra Large White,Per Carton,Conventional,2.87
2019,February,2/9/2019,2/15/2019,NorthEast,Extra Large White,Per Carton,Organic,4.99
2019,February,2/9/2019,2/15/2019,NorthEast,Large White,Per Carton,Organic,2.64
2019,February,2/9/2019,2/15/2019,NorthEast,Large White,Per Carton,Conventional,1.2
2019,February,2/9/2019,2/15/2019,NorthEast,Large White,Per Carton,Conventional,2.5
2019,February,2/9/2019,2/15/2019,NorthEast,Medium White,Per Carton,Conventional,0.99
2019,February,2/9/2019,2/15/2019,NorthWest,Large Brown,Per Carton,Organic,2.63
2019,February,2/9/2019,2/15/2019,NorthWest,Large Brown,Per Carton,Organic,3.28
2019,February,2/9/2019,2/15/2019,NorthWest,Large White,Per Carton,Conventional,1.14
2019,February,2/9/2019,2/15/2019,NorthWest,Large White,Per Carton,Conventional,1.55
2019,February,2/9/2019,2/15/2019,NorthWest,Medium White,Per Carton,Conventional,0.99
2019,February,2/9/2019,2/15/2019,SouthCentral,Large Brown,Per Carton,Organic,2.99
2019,February,2/9/2019,2/15/2019,SouthCentral,Large Brown,Per Carton,Conventional,2.88
2019,February,2/9/2019,2/15/2019,SouthCentral,Large Brown,Per Carton,Conventional,2.48
2019,February,2/9/2019,2/15/2019,SouthCentral,Extra Large White,Per Carton,Conventional,2.5
2019,February,2/9/2019,2/15/2019,SouthCentral,Large White,Per Carton,Organic,1.5
