report begin date,report end date,month,region,type,price unit,environment,price avg
1/5/2019,1/11/2019,January,NorthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.36
1/5/2019,1/11/2019,January,NorthEast,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.99
1/5/2019,1/11/2019,January,NorthEast,WHITE LARGE,Per Carton,Conventional,1.63
1/5/2019,1/11/2019,January,NorthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.04
1/5/2019,1/11/2019,January,NorthEast,WHITE LARGE,Per Carton,Vegatarian-Fed,2.47
1/5/2019,1/11/2019,January,NorthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",1.98
1/5/2019,1/11/2019,January,NorthWest,BROWN LARGE,Per Carton,USDA Organic,3.41
1/5/2019,1/11/2019,January,NorthWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.59
1/5/2019,1/11/2019,January,NorthWest,WHITE LARGE,Per Carton,Conventional,1.24
1/5/2019,1/11/2019,January,NorthWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.36
1/5/2019,1/11/2019,January,SouthCentral,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.26
1/5/2019,1/11/2019,January,SouthCentral,BROWN LARGE,Per Carton,USDA Organic,3.00
1/5/2019,1/11/2019,January,SouthCentral,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/5/2019,1/11/2019,January,SouthCentral,WHITE LARGE,Per Carton,Conventional,1.33
1/5/2019,1/11/2019,January,SouthCentral,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.64
1/5/2019,1/11/2019,January,SouthCentral,WHITE MEDIUM,Per Carton,Conventional,1.50
1/5/2019,1/11/2019,January,SouthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.91
1/5/2019,1/11/2019,January,SouthEast,BROWN LARGE,Per Carton,USDA Organic,3.99
1/5/2019,1/11/2019,January,SouthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.29
1/5/2019,1/11/2019,January,SouthEast,WHITE LARGE,Per Carton,Conventional,2.50
1/5/2019,1/11/2019,January,SouthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/5/2019,1/11/2019,January,SouthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
1/5/2019,1/11/2019,January,SouthWest,BROWN LARGE,Per Carton,USDA Organic,3.16
1/5/2019,1/11/2019,January,SouthWest,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.88
1/5/2019,1/11/2019,January,SouthWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.50
1/5/2019,1/11/2019,January,SouthWest,WHITE LARGE,Per Carton,Conventional,2.86
1/5/2019,1/11/2019,January,SouthWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),3.79
1/5/2019,1/11/2019,January,SouthWest,WHITE MEDIUM,Per Carton,Conventional,1.78
1/12/2019,1/18/2019,January,Alaska,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.07
1/12/2019,1/18/2019,January,Alaska,WHITE LARGE,Per Carton,Conventional,0.99
1/12/2019,1/18/2019,January,MidWest,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.49
1/12/2019,1/18/2019,January,MidWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",1.84
1/12/2019,1/18/2019,January,MidWest,BROWN LARGE,Per Carton,USDA Organic,2.93
1/12/2019,1/18/2019,January,MidWest,WHITE EXTRA LARGE,Per Carton,Conventional,1.72
1/12/2019,1/18/2019,January,MidWest,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),3.08
1/12/2019,1/18/2019,January,MidWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.12
1/12/2019,1/18/2019,January,MidWest,WHITE LARGE,Per Carton,Conventional,1.14
1/12/2019,1/18/2019,January,MidWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.37
1/12/2019,1/18/2019,January,MidWest,WHITE MEDIUM,Per Carton,Conventional,0.69
1/12/2019,1/18/2019,January,National,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.61
1/12/2019,1/18/2019,January,National,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.36
1/12/2019,1/18/2019,January,National,BROWN LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/12/2019,1/18/2019,January,National,BROWN LARGE,Per Carton,USDA Organic,3.23
1/12/2019,1/18/2019,January,National,BROWN LARGE,Per Carton,Vegatarian-Fed,2.50
1/12/2019,1/18/2019,January,National,WHITE EXTRA LARGE,Per Carton,Conventional,2.94
1/12/2019,1/18/2019,January,National,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.95
1/12/2019,1/18/2019,January,National,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.09
1/12/2019,1/18/2019,January,National,WHITE LARGE,Per Carton,Conventional,1.76
1/12/2019,1/18/2019,January,National,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.08
1/12/2019,1/18/2019,January,National,WHITE LARGE,Per Carton,USDA Organic,2.49
1/12/2019,1/18/2019,January,NorthEast,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.77
1/12/2019,1/18/2019,January,NorthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.24
1/12/2019,1/18/2019,January,NorthEast,BROWN LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/12/2019,1/18/2019,January,NorthEast,BROWN LARGE,Per Carton,USDA Organic,3.77
1/12/2019,1/18/2019,January,NorthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.50
1/12/2019,1/18/2019,January,NorthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.99
1/12/2019,1/18/2019,January,NorthEast,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
1/12/2019,1/18/2019,January,NorthEast,WHITE LARGE,Per Carton,Conventional,1.52
1/12/2019,1/18/2019,January,NorthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.96
1/12/2019,1/18/2019,January,NorthEast,WHITE LARGE,Per Carton,USDA Organic,2.49
1/12/2019,1/18/2019,January,NorthWest,WHITE LARGE,Per Carton,Conventional,0.88
1/12/2019,1/18/2019,January,NorthWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/12/2019,1/18/2019,January,SouthCentral,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.00
1/12/2019,1/18/2019,January,SouthCentral,BROWN LARGE,Per Carton,USDA Organic,2.84
1/12/2019,1/18/2019,January,SouthCentral,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.32
1/12/2019,1/18/2019,January,SouthCentral,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",3.49
1/12/2019,1/18/2019,January,SouthCentral,WHITE LARGE,Per Carton,Conventional,1.52
1/12/2019,1/18/2019,January,SouthCentral,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/12/2019,1/18/2019,January,SouthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.89
1/12/2019,1/18/2019,January,SouthEast,BROWN LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/12/2019,1/18/2019,January,SouthEast,BROWN LARGE,Per Carton,USDA Organic,2.79
1/12/2019,1/18/2019,January,SouthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.50
1/12/2019,1/18/2019,January,SouthEast,WHITE EXTRA LARGE,Per Carton,Conventional,4.59
1/12/2019,1/18/2019,January,SouthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.29
1/12/2019,1/18/2019,January,SouthEast,WHITE LARGE,Per Carton,Conventional,1.09
1/12/2019,1/18/2019,January,SouthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.77
1/12/2019,1/18/2019,January,SouthEast,WHITE LARGE,Per Carton,USDA Organic,2.49
1/12/2019,1/18/2019,January,SouthEast,WHITE MEDIUM,Per Carton,Conventional,0.69
1/12/2019,1/18/2019,January,SouthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",1.94
1/12/2019,1/18/2019,January,SouthWest,BROWN LARGE,Per Carton,USDA Organic,3.28
1/12/2019,1/18/2019,January,SouthWest,WHITE LARGE,Per Carton,Conventional,1.89
1/12/2019,1/18/2019,January,SouthWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),3.00
1/12/2019,1/18/2019,January,SouthWest,WHITE MEDIUM,Per Carton,Conventional,2.79
1/19/2019,1/25/2019,January,Alaska,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.21
1/19/2019,1/25/2019,January,Alaska,BROWN LARGE,Per Carton,Conventional,1.99
1/19/2019,1/25/2019,January,Hawaii,WHITE LARGE,Per Carton,Conventional,3.50
1/19/2019,1/25/2019,January,Hawaii,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),3.99
1/19/2019,1/25/2019,January,MidWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.57
1/19/2019,1/25/2019,January,MidWest,BROWN LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/19/2019,1/25/2019,January,MidWest,BROWN LARGE,Per Carton,USDA Organic,3.49
1/19/2019,1/25/2019,January,MidWest,BROWN LARGE,Per Carton,Vegatarian-Fed,2.28
1/19/2019,1/25/2019,January,MidWest,WHITE EXTRA LARGE,Per Carton,Conventional,1.66
1/19/2019,1/25/2019,January,MidWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.69
1/19/2019,1/25/2019,January,MidWest,WHITE LARGE,Per Carton,Conventional,1.63
1/19/2019,1/25/2019,January,MidWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.04
1/19/2019,1/25/2019,January,National,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.99
1/19/2019,1/25/2019,January,National,BROWN EXTRA LARGE,Per Carton,USDA Organic,3.99
1/19/2019,1/25/2019,January,National,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.66
1/19/2019,1/25/2019,January,National,BROWN LARGE,Per Carton,Conventional,1.94
1/19/2019,1/25/2019,January,National,BROWN LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/19/2019,1/25/2019,January,National,BROWN LARGE,Per Carton,USDA Organic,3.93
1/19/2019,1/25/2019,January,National,BROWN LARGE,Per Carton,Vegatarian-Fed,2.45
1/19/2019,1/25/2019,January,National,WHITE EXTRA LARGE,Per Carton,Conventional,1.66
1/19/2019,1/25/2019,January,National,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.33
1/19/2019,1/25/2019,January,National,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.30
1/19/2019,1/25/2019,January,National,WHITE LARGE,Per Carton,Conventional,1.53
1/19/2019,1/25/2019,January,National,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.13
1/19/2019,1/25/2019,January,National,WHITE LARGE,Per Carton,USDA Organic,3.99
1/19/2019,1/25/2019,January,NorthEast,BROWN EXTRA LARGE,Per Carton,USDA Organic,3.99
1/19/2019,1/25/2019,January,NorthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.37
1/19/2019,1/25/2019,January,NorthEast,BROWN LARGE,Per Carton,USDA Organic,4.16
1/19/2019,1/25/2019,January,NorthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.57
1/19/2019,1/25/2019,January,NorthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.33
1/19/2019,1/25/2019,January,NorthEast,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.50
1/19/2019,1/25/2019,January,NorthEast,WHITE LARGE,Per Carton,Conventional,0.99
1/19/2019,1/25/2019,January,NorthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.42
1/19/2019,1/25/2019,January,NorthEast,WHITE LARGE,Per Carton,USDA Organic,3.99
1/19/2019,1/25/2019,January,NorthEast,WHITE MEDIUM,Per Carton,Conventional,0.99
1/19/2019,1/25/2019,January,NorthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.52
1/19/2019,1/25/2019,January,NorthWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.13
1/19/2019,1/25/2019,January,NorthWest,WHITE LARGE,Per Carton,Conventional,1.67
1/19/2019,1/25/2019,January,SouthCentral,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.99
1/19/2019,1/25/2019,January,SouthCentral,BROWN LARGE,Per Carton,Conventional,1.89
1/19/2019,1/25/2019,January,SouthCentral,BROWN LARGE,Per Carton,USDA Organic,3.00
1/19/2019,1/25/2019,January,SouthCentral,BROWN LARGE,Per Carton,Vegatarian-Fed,2.37
1/19/2019,1/25/2019,January,SouthCentral,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.34
1/19/2019,1/25/2019,January,SouthCentral,WHITE LARGE,Per Carton,Conventional,1.49
1/19/2019,1/25/2019,January,SouthCentral,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/19/2019,1/25/2019,January,SouthCentral,WHITE MEDIUM,Per Carton,Conventional,1.00
1/19/2019,1/25/2019,January,SouthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.86
1/19/2019,1/25/2019,January,SouthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.50
1/19/2019,1/25/2019,January,SouthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.29
1/19/2019,1/25/2019,January,SouthEast,WHITE LARGE,Per Carton,Conventional,1.93
1/19/2019,1/25/2019,January,SouthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/19/2019,1/25/2019,January,SouthEast,WHITE MEDIUM,Per Carton,Conventional,0.68
1/19/2019,1/25/2019,January,SouthWest,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.99
1/19/2019,1/25/2019,January,SouthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.33
1/19/2019,1/25/2019,January,SouthWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",3.19
1/19/2019,1/25/2019,January,SouthWest,WHITE LARGE,Per Carton,Conventional,1.34
1/19/2019,1/25/2019,January,SouthWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.76
1/19/2019,1/25/2019,January,SouthWest,WHITE MEDIUM,Per Carton,Conventional,1.00
1/26/2019,2/1/2019,January,Alaska,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,Hawaii,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,Hawaii,WHITE LARGE,Per Carton,Conventional,4.99
1/26/2019,2/1/2019,January,MidWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.69
1/26/2019,2/1/2019,January,MidWest,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,MidWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.99
1/26/2019,2/1/2019,January,MidWest,WHITE LARGE,Per Carton,Conventional,1.00
1/26/2019,2/1/2019,January,MidWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.42
1/26/2019,2/1/2019,January,MidWest,WHITE LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,MidWest,WHITE MEDIUM,Per Carton,Conventional,0.95
1/26/2019,2/1/2019,January,National,BROWN EXTRA LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,National,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.01
1/26/2019,2/1/2019,January,National,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,National,BROWN LARGE,Per Carton,Vegatarian-Fed,2.92
1/26/2019,2/1/2019,January,National,WHITE EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",4.99
1/26/2019,2/1/2019,January,National,WHITE EXTRA LARGE,Per Carton,Conventional,0.99
1/26/2019,2/1/2019,January,National,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/26/2019,2/1/2019,January,National,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",2.10
1/26/2019,2/1/2019,January,National,WHITE LARGE,Per Carton,Conventional,1.85
1/26/2019,2/1/2019,January,National,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.28
1/26/2019,2/1/2019,January,National,WHITE LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,NorthEast,BROWN EXTRA LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,NorthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.53
1/26/2019,2/1/2019,January,NorthEast,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,NorthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.92
1/26/2019,2/1/2019,January,NorthEast,WHITE EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",4.99
1/26/2019,2/1/2019,January,NorthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.50
1/26/2019,2/1/2019,January,NorthEast,WHITE LARGE,Per Carton,Conventional,1.69
1/26/2019,2/1/2019,January,NorthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.23
1/26/2019,2/1/2019,January,NorthEast,WHITE LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,NorthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",1.66
1/26/2019,2/1/2019,January,NorthWest,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,NorthWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
1/26/2019,2/1/2019,January,NorthWest,WHITE LARGE,Per Carton,Conventional,1.99
1/26/2019,2/1/2019,January,SouthCentral,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.85
1/26/2019,2/1/2019,January,SouthCentral,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,SouthCentral,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
1/26/2019,2/1/2019,January,SouthCentral,WHITE LARGE,Per Carton,Conventional,1.00
1/26/2019,2/1/2019,January,SouthCentral,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.31
1/26/2019,2/1/2019,January,SouthCentral,WHITE LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,SouthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",3.03
1/26/2019,2/1/2019,January,SouthEast,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,SouthEast,WHITE EXTRA LARGE,Per Carton,Conventional,0.99
1/26/2019,2/1/2019,January,SouthEast,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
1/26/2019,2/1/2019,January,SouthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.99
1/26/2019,2/1/2019,January,SouthEast,WHITE LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,SouthEast,WHITE MEDIUM,Per Carton,Conventional,0.65
1/26/2019,2/1/2019,January,SouthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.60
1/26/2019,2/1/2019,January,SouthWest,BROWN LARGE,Per Carton,USDA Organic,3.99
1/26/2019,2/1/2019,January,SouthWest,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
1/26/2019,2/1/2019,January,SouthWest,WHITE LARGE,Per Carton,Conventional,2.99
1/26/2019,2/1/2019,January,SouthWest,WHITE MEDIUM,Per Carton,Conventional,2.59
2/2/2019,2/8/2019,February,Alaska,BROWN LARGE,Per Carton,USDA Organic,4.29
2/2/2019,2/8/2019,February,Alaska,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.76
2/2/2019,2/8/2019,February,Hawaii,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),4.99
2/2/2019,2/8/2019,February,MidWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.13
2/2/2019,2/8/2019,February,MidWest,BROWN LARGE,Per Carton,USDA Organic,4.10
2/2/2019,2/8/2019,February,MidWest,WHITE EXTRA LARGE,Per Carton,Conventional,1.93
2/2/2019,2/8/2019,February,MidWest,WHITE LARGE,Per Carton,Conventional,1.54
2/2/2019,2/8/2019,February,MidWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.43
2/2/2019,2/8/2019,February,National,BROWN EXTRA LARGE,Per Carton,USDA Organic,4.49
2/2/2019,2/8/2019,February,National,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.81
2/2/2019,2/8/2019,February,National,BROWN LARGE,Per Carton,USDA Organic,3.98
2/2/2019,2/8/2019,February,National,BROWN LARGE,Per Carton,Vegatarian-Fed,2.00
2/2/2019,2/8/2019,February,National,WHITE EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.00
2/2/2019,2/8/2019,February,National,WHITE EXTRA LARGE,Per Carton,Conventional,2.20
2/2/2019,2/8/2019,February,National,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.67
2/2/2019,2/8/2019,February,National,WHITE EXTRA LARGE,Per Carton,Vegatarian-Fed,2.99
2/2/2019,2/8/2019,February,National,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",3.11
2/2/2019,2/8/2019,February,National,WHITE LARGE,Per Carton,Conventional,1.25
2/2/2019,2/8/2019,February,National,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.46
2/2/2019,2/8/2019,February,NorthEast,BROWN EXTRA LARGE,Per Carton,USDA Organic,4.49
2/2/2019,2/8/2019,February,NorthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.99
2/2/2019,2/8/2019,February,NorthEast,BROWN LARGE,Per Carton,USDA Organic,3.57
2/2/2019,2/8/2019,February,NorthEast,WHITE EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.00
2/2/2019,2/8/2019,February,NorthEast,WHITE EXTRA LARGE,Per Carton,Conventional,1.33
2/2/2019,2/8/2019,February,NorthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.63
2/2/2019,2/8/2019,February,NorthEast,WHITE LARGE,Per Carton,Conventional,0.94
2/2/2019,2/8/2019,February,NorthEast,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.61
2/2/2019,2/8/2019,February,NorthWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",1.99
2/2/2019,2/8/2019,February,NorthWest,BROWN LARGE,Per Carton,USDA Organic,4.29
2/2/2019,2/8/2019,February,NorthWest,WHITE LARGE,Per Carton,Conventional,0.88
2/2/2019,2/8/2019,February,NorthWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.75
2/2/2019,2/8/2019,February,SouthCentral,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.50
2/2/2019,2/8/2019,February,SouthCentral,BROWN LARGE,Per Carton,USDA Organic,3.92
2/2/2019,2/8/2019,February,SouthCentral,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.37
2/2/2019,2/8/2019,February,SouthCentral,WHITE EXTRA LARGE,Per Carton,Vegatarian-Fed,2.99
2/2/2019,2/8/2019,February,SouthCentral,WHITE LARGE,Per Carton,Conventional,1.28
2/2/2019,2/8/2019,February,SouthCentral,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.49
2/2/2019,2/8/2019,February,SouthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.86
2/2/2019,2/8/2019,February,SouthEast,BROWN LARGE,Per Carton,USDA Organic,3.99
2/2/2019,2/8/2019,February,SouthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.00
2/2/2019,2/8/2019,February,SouthEast,WHITE EXTRA LARGE,Per Carton,Conventional,4.59
2/2/2019,2/8/2019,February,SouthEast,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.46
2/2/2019,2/8/2019,February,SouthEast,WHITE LARGE,Per Carton,Conventional,1.46
